region_id,region_name,asteroid_volume_mined,gas_volume_mined,ice_volume_mined,moon_volume_mined,asteroid_volume_wasted,gas_volume_wasted,ice_volume_wasted,moon_volume_wasted
10000001,Derelik,955965447.0400001,16665230.0,553252000.0,811085630.0,297815540.85,1734830.0,127229000.0,112431360.0
10000002,The Forge,2472787547.3900003,15075460.0,3463746000.0,1936340100.0,603828953.0500001,1835730.0,817610000.0,435742340.0
10000003,Vale of the Silent,2608952259.53,13991360.0,1888591000.0,5230927450.0,334629195.91,2120840.0,282959000.0,151878990.0
10000005,Detorid,114978313.08,1705200.0,67289000.0,547680960.0,31776301.21,155010.0,14760000.0,9936540.0
10000006,Wicked Creek,69827390.52,1459330.0,39987000.0,200426950.0,7961667.14,322960.0,11006000.0,5282730.0
10000007,Cache,214376251.79,1232190.0,109920000.0,175407280.0,37988166.58,168430.0,16206000.0,10133590.0
10000008,Scalding Pass,198925969.46,2523700.0,316166000.0,499198590.0,56142585.7,228580.0,74919000.0,17769690.0
10000009,Insmother,344206716.18,3567210.0,86632000.0,726453820.0,74496805.17,157650.0,19355000.0,1930400.0
10000010,Tribute,147716669.64,898910.0,636928000.0,1710982200.0,12898621.38,162670.0,29135000.0,10835140.0
10000011,Great Wildlands,35280825.88,2658840.0,31107000.0,304746100.0,8042112.51,343220.0,3320000.0,20192650.0
10000012,Curse,1259250.08,13733850.0,13001000.0,58686980.0,224104.0,316310.0,1648000.0,3794210.0
10000013,Malpais,858304310.04,5133240.0,746440000.0,1235992510.0,170120508.93,708770.0,196421000.0,53035640.0
10000014,Catch,110431162.3,2666920.0,53222000.0,337840940.0,20964952.73,201660.0,9229000.0,8943370.0
