history_date,security_band,asteroid_volume_mined,gas_volume_mined,ice_volume_mined,moon_volume_mined,asteroid_volume_wasted,gas_volume_wasted,ice_volume_wasted,moon_volume_wasted
2023-07-10,Low Sec,106394022.06,6253700.0,4371000.0,65083260.0,23369509.74,985160.0,1023000.0,4822740.0
2023-07-10,Null Sec,546978329.02,4894850.0,289059000.0,857481600.0,95138912.21,777560.0,60536000.0,45812670.0
2023-07-10,Pochven,9374928.0,0.0,0.0,0.0,4720584.0,0.0,0.0,0.0
2023-07-10,Wormhole,127408686.07,16599327.0,296000.0,2129630.0,42534183.21,3219611.0,71000.0,431260.0
2023-07-11,High Sec,643995110.86,2075950.0,627966000.0,650452230.0,145035544.79000002,164640.0,115917000.0,141004860.0
2023-07-11,Low Sec,113407638.06,6954380.0,2905000.0,71999830.0,29480890.11,1025200.0,912000.0,6037350.0
2023-07-11,Null Sec,524570860.43,5405990.0,338319000.0,1072338050.0,89146574.53,792660.0,78066000.0,75269540.0
2023-07-11,Pochven,6595136.0,0.0,0.0,0.0,3265688.0,0.0,0.0,0.0
2023-07-11,Wormhole,143822672.4,16587367.0,200000.0,11818120.0,55054491.85,3598173.0,22000.0,537880.0
2023-07-12,High Sec,696596870.77,1417070.0,644767000.0,653409430.0,163305902.86,110250.0,132841000.0,150849960.0
2023-07-12,Low Sec,138357878.59,7783100.0,2554000.0,32867560.0,23976677.94,1128380.0,460000.0,5517080.0
2023-07-12,Null Sec,546127973.93,4748670.0,325022000.0,1106482290.0,85481425.7,628580.0,79300000.0,50012830.0
2023-07-12,Pochven,10248704.0,0.0,0.0,0.0,2319080.0,0.0,0.0,0.0
2023-07-12,Wormhole,121404428.03,14664009.0,849000.0,20274510.0,45937389.5,3185268.0,171000.0,253840.0
2023-07-13,High Sec,681934314.33,1775150.0,603337000.0,566144850.0,163646397.55,124670.0,120124000.0,123671000.0
2023-07-13,Low Sec,111279860.63,6643910.0,4472000.0,51058360.0,20640318.59,940250.0,1019000.0,8018630.0
2023-07-13,Null Sec,576261193.11,4605230.0,353921000.0,993202860.0,83755478.42,533340.0,89257000.0,60250050.0
2023-07-13,Pochven,7983456.0,0.0,0.0,0.0,3560736.0,0.0,0.0,0.0
2023-07-13,Wormhole,94367262.71,16780292.0,4068000.0,1628470.0,34247378.42,3646133.0,1305000.0,177480.0
2023-07-14,High Sec,686476086.5300001,1527510.0,609804000.0,817558620.0,168117411.51000002,148600.0,125771000.0,197696540.0
2023-07-14,Low Sec,105412754.37,6636470.0,3109000.0,75414790.0,28833674.37,868930.0,275000.0,6682260.0
2023-07-14,Null Sec,574710989.93,5053550.0,302076000.0,1012386270.0,95283079.15,537470.0,84111000.0,70062680.0
2023-07-14,Pochven,3005936.0,0.0,0.0,0.0,1024920.0,0.0,0.0,0.0
2023-07-14,Wormhole,90632809.78,16420414.0,7576000.0,7869720.0,33258873.48,3035878.0,2499000.0,1881290.0
2023-07-15,High Sec,787487910.7800001,1600150.0,685885000.0,857346580.0,187108260.38000003,165750.0,139897000.0,191348270.0
2023-07-15,Low Sec,104314857.77,7121690.0,3248000.0,43509230.0,25025676.24,1137730.0,704000.0,6006630.0
2023-07-15,Null Sec,551020687.23,4345600.0,211642000.0,1065164930.0,92951108.08,530180.0,49520000.0,68818170.0
2023-07-15,Pochven,24099728.0,0.0,0.0,0.0,9206208.0,0.0,0.0,0.0
2023-07-15,Wormhole,114433944.7,19701522.0,3540000.0,7929500.0,36318420.42,3887274.0,1159000.0,717940.0
2023-07-16,High Sec,850970279.45,1685090.0,685048000.0,732055710.0,198710167.31,198560.0,139913000.0,159197820.0
2023-07-16,Low Sec,132359040.22,7197740.0,1386000.0,35049180.0,18309322.97,1025730.0,231000.0,3703160.0
2023-07-16,Null Sec,615035204.11,5243830.0,282431000.0,1379108660.0,108001094.21,765870.0,75785000.0,74423160.0
2023-07-16,Pochven,9903408.0,0.0,0.0,0.0,5628816.0,0.0,0.0,0.0
2023-07-16,Wormhole,150657988.39,18305599.0,1242000.0,5182110.0,50289418.3,3674775.0,167000.0,669500.0
2023-07-17,High Sec,700548618.26,1864160.0,630169000.0,632076440.0,159921345.27,136390.0,129618000.0,159007430.0
2023-07-17,Low Sec,129340318.61,7033270.0,3642000.0,52678280.0,21612630.82,918750.0,791000.0,4519640.0
2023-07-17,Null Sec,602229815.52,4657150.0,311054000.0,986177050.0,108217830.77,452630.0,83600000.0,47308810.0
2023-07-17,Pochven,7335904.0,0.0,0.0,0.0,3089264.0,0.0,0.0,0.0
2023-07-17,Wormhole,127959470.31,16965642.0,141000.0,7098910.0,49862559.84,3309086.0,21000.0,752280.0
2023-07-18,High Sec,711317135.76,1762030.0,613737000.0,582516330.0,159421638.18,132460.0,125362000.0,141995890.0
2023-07-18,Low Sec,111197980.59,7768590.0,4945000.0,61552840.0,16651237.88,954530.0,1476000.0,5140960.0
2023-07-18,Null Sec,611624627.69,4765070.0,264452000.0,785854220.0,103211872.56,576980.0,69866000.0,45525830.0
2023-07-18,Pochven,5723312.0,0.0,0.0,0.0,2295872.0,0.0,0.0,0.0
2023-07-18,Wormhole,142073027.71,16426683.0,482000.0,1009840.0,49113973.4,3323200.0,172000.0,308950.0
2023-07-19,High Sec,710492902.84,2006340.0,610821000.0,613645890.0,169557241.38,193050.0,125878000.0,146413230.0
2023-07-19,Low Sec,118855540.33,7611180.0,2947000.0,73325920.0,19769983.49,906100.0,817000.0,2928580.0
2023-07-19,Null Sec,606650165.89,6173060.0,268085000.0,1068843400.0,93373470.35,873780.0,64401000.0,70676680.0
2023-07-19,Pochven,8578304.0,0.0,0.0,0.0,5558848.0,0.0,0.0,0.0
2023-07-19,Wormhole,143934173.47,17618470.0,3007000.0,5818560.0,57493844.19,3563419.0,17000.0,1753590.0
2023-07-20,High Sec,696633823.3000001,1907230.0,637910000.0,545742450.0,172602018.21,163720.0,120169000.0,125649810.0
2023-07-20,Low Sec,108813049.05,6755000.0,2202000.0,46726140.0,20576595.92,857150.0,415000.0,9024450.0
2023-07-20,Null Sec,558550384.55,5609150.0,249292000.0,1100788150.0,76136309.77,730560.0,61929000.0,62649320.0
2023-07-20,Pochven,15515352.0,0.0,0.0,0.0,6282376.0,0.0,0.0,0.0
2023-07-20,Wormhole,115640129.88,15335733.0,521000.0,2275410.0,42869398.62,3075007.0,182000.0,643600.0
2023-07-21,High Sec,713141448.5400001,1298210.0,629240000.0,868019010.0,166735430.12,128380.0,131033000.0,194317300.0
2023-07-21,Low Sec,93323484.9,7017060.0,2583000.0,55676200.0,22810139.44,1043260.0,402000.0,6451520.0
2023-07-21,Null Sec,520058812.81,6184780.0,210442000.0,1145205130.0,97849709.91,855970.0,49982000.0,50086540.0
2023-07-21,Pochven,19719640.0,0.0,0.0,0.0,8630048.0,0.0,0.0,0.0
2023-07-21,Wormhole,140248953.51,19197867.0,9196000.0,3586170.0,49640390.1,3794781.0,3026000.0,965100.0
2023-07-22,High Sec,757936622.34,1775290.0,685546000.0,900637260.0,174691093.71,103960.0,129955000.0,201424060.0
2023-07-22,Low Sec,94467945.43,7070970.0,2295000.0,30460230.0,24993202.82,992460.0,446000.0,3360830.0
2023-07-22,Null Sec,595056595.84,6622260.0,264553000.0,1314955190.0,94202498.49,1087240.0,61534000.0,84909790.0
2023-07-22,Pochven,6213552.0,0.0,0.0,0.0,3318784.0,0.0,0.0,0.0
2023-07-22,Wormhole,124585997.12,17414805.0,7946000.0,24927980.0,44678882.21,3811421.0,1916000.0,8733550.0
2023-07-23,High Sec,817043673.99,1792640.0,715727000.0,766970600.0,194784262.20000002,141970.0,140660000.0,173364740.0
2023-07-23,Low Sec,107278251.1,7981920.0,1441000.0,47029960.0,24212002.41,1159610.0,378000.0,8321370.0
2023-07-23,Null Sec,631545607.72,5934380.0,309280000.0,1139818960.0,101803083.32,860820.0,74589000.0,51107820.0
2023-07-23,Pochven,17293584.0,0.0,0.0,0.0,8556952.0,0.0,0.0,0.0
2023-07-23,Wormhole,161864542.67,18806479.0,2361000.0,17724020.0,63738330.44,4132958.0,611000.0,271680.0
2023-07-24,High Sec,684817200.9200001,1678710.0,684222000.0,612174100.0,157479211.51000002,195420.0,142867000.0,147022190.0
2023-07-24,Low Sec,139203946.12,7843510.0,4414000.0,45836210.0,31489534.65,1079250.0,871000.0,2437860.0
2023-07-24,Null Sec,649060796.1,5443180.0,244358000.0,906266730.0,110198659.99,619490.0,67646000.0,46407950.0
2023-07-24,Pochven,16454184.0,0.0,0.0,0.0,4912112.0,0.0,0.0,0.0
2023-07-24,Wormhole,127335500.44,19013428.0,2265000.0,16517160.0,49981070.16,3995802.0,676000.0,2084710.0
2023-07-25,High Sec,700009351.64,1515450.0,595283000.0,619354000.0,151714548.20000002,57080.0,117339000.0,139265520.0
2023-07-25,Low Sec,103442590.03,7016150.0,2594000.0,65414630.0,18739190.33,818730.0,502000.0,5254620.0
2023-07-25,Null Sec,581092565.48,5829670.0,270695000.0,1000062290.0,81033481.63,871320.0,72257000.0,59452260.0
2023-07-25,Pochven,39099976.0,0.0,0.0,0.0,13599848.0,0.0,0.0,0.0
2023-07-25,Wormhole,121308583.84,19372971.0,74000.0,6660150.0,44620758.14,4042638.0,28000.0,1466490.0
2023-07-26,High Sec,709672497.27,1438070.0,589491000.0,652932000.0,158390166.31,70150.0,114678000.0,144278640.0
2023-07-26,Low Sec,125235264.87,6985960.0,3465000.0,59623670.0,26422059.75,860750.0,962000.0,2222310.0
2023-07-26,Null Sec,585823743.55,5201150.0,294897000.0,1055720120.0,68909376.72,669830.0,78473000.0,63272340.0
2023-07-26,Pochven,15506712.0,0.0,0.0,0.0,4868224.0,0.0,0.0,0.0
2023-07-26,Wormhole,86812612.58,18508194.0,3765000.0,23017570.0,31221907.84,3626791.0,992000.0,1599890.0
2023-07-27,High Sec,695199295.7800001,1316300.0,609376000.0,650989080.0,162865585.02,102590.0,121873000.0,130933460.0
2023-07-27,Low Sec,119731280.38,6697570.0,3486000.0,40173670.0,19290249.69,921170.0,1026000.0,4419600.0
2023-07-27,Null Sec,562970180.57,5491440.0,329209000.0,952457670.0,79758161.62,681900.0,85207000.0,59499230.0
2023-07-27,Pochven,4475080.0,0.0,0.0,0.0,2013312.0,0.0,0.0,0.0
2023-07-27,Wormhole,122584868.02,16821636.0,1200000.0,2776850.0,42191510.53,3685228.0,259000.0,567270.0
2023-07-28,High Sec,680916525.38,1452370.0,629519000.0,790528710.0,156358183.55,103220.0,127982000.0,178776420.0
2023-07-28,Low Sec,164925702.58,7027640.0,4187000.0,54906800.0,31935341.43,896240.0,1314000.0,3333760.0
2023-07-28,Null Sec,553065301.14,4787960.0,230779000.0,1046926040.0,100578449.95,458350.0,58722000.0,66872880.0
2023-07-28,Pochven,12591000.0,0.0,0.0,0.0,3933328.0,0.0,0.0,0.0
2023-07-28,Wormhole,143752323.03,17116426.0,16000.0,5128580.0,53962410.95,3544524.0,0.0,1019900.0
2023-07-29,High Sec,750194080.75,1895220.0,623668000.0,978883680.0,171983938.95000002,153820.0,122969000.0,214628950.0
2023-07-29,Low Sec,182760908.28,6867440.0,5992000.0,36116810.0,35023786.68,979830.0,1951000.0,6575300.0
2023-07-29,Null Sec,615896464.64,5433220.0,285613000.0,1308175790.0,89494251.22,736820.0,60436000.0,75486000.0
2023-07-29,Pochven,7462392.0,0.0,0.0,0.0,2948384.0,0.0,0.0,0.0
2023-07-29,Wormhole,96016838.0,17546641.0,199000.0,31006250.0,29524259.9,3784302.0,61000.0,2429910.0
2023-07-30,High Sec,869512536.34,1883160.0,615997000.0,708136530.0,198085767.06,160310.0,122728000.0,150044940.0
2023-07-30,Low Sec,175252490.62,7258660.0,2581000.0,46747610.0,41008027.03,929880.0,757000.0,7964550.0
2023-07-30,Null Sec,587296935.65,5690520.0,196623000.0,974149650.0,98979829.33,579100.0,50418000.0,48672610.0
2023-07-30,Pochven,4327072.0,0.0,0.0,0.0,1327360.0,0.0,0.0,0.0
2023-07-30,Wormhole,107084474.29,21110819.0,126000.0,7239440.0,35687916.69,4648996.0,30000.0,1609830.0
2023-07-31,High Sec,681429677.6600001,1639230.0,605603000.0,721247830.0,152403144.29000002,111070.0,125162000.0,152800460.0
2023-07-31,Low Sec,156834448.49,7040300.0,2229000.0,63581510.0,24498842.5,850180.0,620000.0,5266620.0
2023-07-31,Null Sec,587998846.17,6300480.0,363401000.0,1138506370.0,99616546.09,553150.0,83093000.0,71823550.0
2023-07-31,Pochven,16964032.0,0.0,0.0,0.0,4127920.0,0.0,0.0,0.0
2023-07-31,Wormhole,130101148.67,17233380.0,683000.0,5028560.0,46136019.71,3468257.0,210000.0,1086930.0
2023-08-01,High Sec,689279675.5400001,1842560.0,641657000.0,632293770.0,165725710.28,152490.0,123435000.0,156330850.0
2023-08-01,Low Sec,116678514.81,7773890.0,15857000.0,68039060.0,21255936.61,915460.0,1258000.0,8023210.0
2023-08-01,Null Sec,628579232.42,5885810.0,333948000.0,1031242730.0,83585189.42999999,516970.0,81808000.0,70595490.0
2023-08-01,Pochven,10662872.0,0.0,0.0,0.0,3046808.0,0.0,0.0,0.0
