MonthYear,wormhole_class,item_category,import_or_export,total
2023-01-01,Class 1,Materials,Imports,1789917538078.3335
2023-01-01,Class 3,Gas,Imports,550461323581.394
2023-01-01,Class 2,Blue loot,Exports,8630699885491.168
2023-01-01,Class 2,Gas,Exports,849731088849.9656
2023-01-01,Class 2,Gas,Imports,905874057526.0931
2023-01-01,Class 2,Materials,Exports,5237828631847.738
2023-01-01,Class 2,Materials,Imports,5011438482818.88
2023-01-01,Class 3,Blue loot,Exports,10952685078396.082
2023-01-01,Class 3,Blue loot,Imports,9364692946336.465
2023-01-01,Class 2,Blue loot,Imports,8485596555363.895
2023-01-01,Class 6,Gas,Imports,112280310393.3163
2023-01-01,Class 6,Materials,Imports,730012651257.6417
2023-02-01,Class 6,Materials,Imports,786105146602.7759
2023-02-01,Class 4,Blue loot,Exports,12732017386291.012
2023-02-01,Class 4,Blue loot,Imports,11605798234713.756
2023-02-01,Class 4,Gas,Exports,758906159127.9672
2023-02-01,Class 4,Gas,Imports,957516823028.214
2023-02-01,Class 4,Materials,Exports,3180931474778.881
2023-02-01,Class 4,Materials,Imports,3003925309581.0186
2023-02-01,Class 3,Materials,Imports,4993804119456.554
2023-02-01,Class 5,Blue loot,Exports,24793152184504.773
2023-02-01,Class 5,Gas,Exports,1105751829595.0408
2023-02-01,Class 5,Gas,Imports,384307846790.0145
2023-02-01,Class 5,Materials,Exports,3412884418804.1484
2023-02-01,Class 5,Materials,Imports,2687807991337.437
2023-02-01,Class 6,Blue loot,Exports,10512171916150.328
2023-02-01,Class 6,Blue loot,Imports,3972226283199.8
2023-02-01,Class 5,Blue loot,Imports,6633124126389.852
2023-02-01,Class 3,Materials,Exports,5673631175710.952
2023-02-01,Class 3,Gas,Imports,616055319751.4279
2023-02-01,Class 3,Gas,Exports,1160074520315.0166
2023-02-01,Class 6,Materials,Exports,1201409312908.0752
2023-02-01,Class 1,Blue loot,Exports,3915997656729.0703
2023-02-01,Class 1,Blue loot,Imports,3875356846352.103
2023-02-01,Class 1,Gas,Exports,358183465967.1838
2023-02-01,Class 1,Gas,Imports,188871912893.6859
2023-02-01,Class 1,Materials,Exports,2246593782164.632
2023-02-01,Class 1,Materials,Imports,2137300529572.0044
2023-02-01,Class 2,Blue loot,Exports,10611242054349.434
2023-02-01,Class 2,Blue loot,Imports,10551332527169.531
2023-02-01,Class 2,Gas,Exports,959105120802.9854
2023-02-01,Class 2,Gas,Imports,1091183035929.8466
2023-02-01,Class 2,Materials,Exports,6478331433431.079
2023-02-01,Class 2,Materials,Imports,5799445745703.683
2023-02-01,Class 3,Blue loot,Exports,12660675856365.152
2023-02-01,Class 3,Blue loot,Imports,10706626763468.207
2023-02-01,Class 6,Gas,Exports,212315894370.1305
2023-02-01,Class 6,Gas,Imports,104910081369.2492
2023-03-01,Class 6,Materials,Exports,1321014703145.277
2023-03-01,Class 1,Blue loot,Imports,3319832607993.0195
2023-03-01,Class 1,Materials,Exports,2133399006285.4856
2023-03-01,Class 1,Materials,Imports,2013468919213.6897
2023-03-01,Class 2,Blue loot,Exports,9895948432158.35
2023-03-01,Class 2,Blue loot,Imports,9848220728138.287
2023-03-01,Class 2,Gas,Exports,896981813375.1859
2023-03-01,Class 2,Gas,Imports,958794751658.8694
2023-03-01,Class 2,Materials,Exports,5603862716671.909
2023-03-01,Class 2,Materials,Imports,5211120561461.124
2023-03-01,Class 3,Blue loot,Exports,11305570931129.006
2023-03-01,Class 3,Blue loot,Imports,9655025057091.195
2023-03-01,Class 3,Gas,Exports,1043474640082.1711
2023-03-01,Class 3,Gas,Imports,540636281355.5514
2023-03-01,Class 3,Materials,Exports,5379488540853.065
2023-03-01,Class 3,Materials,Imports,4801786273408.786
2023-03-01,Class 1,Gas,Imports,195907841267.0382
2023-03-01,Class 4,Blue loot,Exports,11186111711835.145
2023-03-01,Class 4,Gas,Exports,654251668075.4836
2023-03-01,Class 4,Gas,Imports,834722129051.0073
2023-03-01,Class 4,Materials,Exports,3050383545806.8926
2023-03-01,Class 4,Materials,Imports,2835713690076.353
2023-03-01,Class 5,Blue loot,Exports,22457283631176.227
2023-03-01,Class 5,Blue loot,Imports,6331102868399.66
2023-03-01,Class 5,Gas,Exports,1017090836227.1078
