MonthYear,wormhole_class,item_category,import_or_export,total
2023-12-01,Class 1,Gas,Exports,384153002307.7572
2023-12-01,Class 1,Blue loot,Imports,2629825764524.713
2023-12-01,Class 1,Blue loot,Exports,2667029387131.508
2023-12-01,Class 6,Materials,Imports,978762004269.2196
2023-12-01,Class 3,Gas,Exports,1158568802632.1584
2023-12-01,Class 3,Gas,Imports,645072621687.242
2023-12-01,Class 6,Materials,Exports,1520410991015.755
2023-12-01,Class 3,Materials,Imports,4789397044729.847
2023-12-01,Class 3,Materials,Exports,5216740286999.749
2023-12-01,Class 6,Blue loot,Imports,2249596638984.893
2023-12-01,Class 6,Blue loot,Exports,7119600031741.446
2023-12-01,Class 5,Materials,Imports,2711973701435.703
2023-12-01,Class 5,Materials,Exports,3558886142382.8066
2023-12-01,Class 5,Gas,Imports,381576801681.2036
2023-12-01,Class 5,Gas,Exports,863741594677.5913
2023-12-01,Class 6,Gas,Exports,198324177913.5616
2023-12-01,Class 5,Blue loot,Exports,18164179918877.93
2023-12-01,Class 4,Materials,Imports,3152164462129.327
2023-12-01,Class 4,Materials,Exports,3182572913394.251
2023-12-01,Class 4,Gas,Imports,760126616864.2712
2023-12-01,Class 4,Gas,Exports,646200165643.4064
2023-12-01,Class 4,Blue loot,Imports,7978396283611.416
2023-12-01,Class 5,Blue loot,Imports,4319512078073.5967
2023-12-01,Class 4,Blue loot,Exports,9214584107525.6
2024-01-01,Class 4,Gas,Exports,686025349064.3035
2024-01-01,Class 4,Gas,Imports,887775787432.5148
2024-01-01,Class 4,Materials,Exports,3567528123178.093
2024-01-01,Class 4,Materials,Imports,3520473718102.3247
2024-01-01,Class 5,Blue loot,Exports,18783760175761.97
2024-01-01,Class 5,Blue loot,Imports,4260800418342.343
2024-01-01,Class 5,Materials,Imports,3218400710550.566
2024-01-01,Class 5,Gas,Imports,422689732281.1676
2024-01-01,Class 5,Materials,Exports,4184993268349.178
2024-01-01,Class 6,Blue loot,Exports,8127060017294.267
2024-01-01,Class 6,Blue loot,Imports,2298327120197.291
2024-01-01,Class 6,Gas,Exports,232733270776.5209
2024-01-01,Class 4,Blue loot,Imports,9360013442941.91
2024-01-01,Class 6,Gas,Imports,99022856765.7526
2024-01-01,Class 5,Gas,Exports,938946902758.2375
2024-01-01,Class 4,Blue loot,Exports,10351650919474.523
2024-01-01,Class 2,Materials,Exports,7888788548690.581
2024-01-01,Class 3,Materials,Exports,6333610175387.58
2024-01-01,Class 6,Materials,Exports,1710736731661.756
2024-01-01,Class 1,Gas,Exports,431788966940.5567
2024-01-01,Class 1,Gas,Imports,247336009548.8057
2024-01-01,Class 1,Materials,Exports,2958260605154.821
2024-01-01,Class 1,Materials,Imports,2472612894129.8833
2024-01-01,Class 2,Blue loot,Exports,8712145060736.775
2024-01-01,Class 3,Materials,Imports,5612157706860.467
2024-01-01,Class 2,Blue loot,Imports,8689882644754.54
2024-01-01,Class 2,Gas,Imports,1103596164181.7693
2024-01-01,Class 2,Materials,Imports,7219193603908.918
2024-01-01,Class 3,Blue loot,Exports,10759972697525.64
2024-01-01,Class 3,Blue loot,Imports,9019347034081.443
2024-01-01,Class 3,Gas,Exports,1217201265817.5664
2024-01-01,Class 3,Gas,Imports,607915603089.7428
2024-01-01,Class 2,Gas,Exports,1033398071767.0356
2024-01-01,Class 1,Blue loot,Imports,2941072772599.446
2024-01-01,Class 6,Materials,Imports,1153572934155.939
2024-01-01,Class 1,Blue loot,Exports,2990372872226.403
2024-02-01,Class 3,Gas,Imports,655148123262.9338
2024-02-01,Class 3,Gas,Exports,1246162300607.98
2024-02-01,Class 3,Blue loot,Imports,8022931261990.892
2024-02-01,Class 3,Blue loot,Exports,9700400180893.932
2024-02-01,Class 2,Materials,Imports,6249369366633.808
2024-02-01,Class 2,Materials,Exports,7024571634288.713
2024-02-01,Class 3,Materials,Exports,6029498266340.612
2024-02-01,Class 2,Gas,Imports,1002677952224.2496
2024-02-01,Class 2,Blue loot,Imports,8524358910127.92
2024-02-01,Class 2,Blue loot,Exports,8673577856594.519
2024-02-01,Class 1,Materials,Imports,2586308209368.4263
2024-02-01,Class 1,Materials,Exports,3000959373688.727
2024-02-01,Class 1,Gas,Imports,220475096185.5977
2024-02-01,Class 1,Gas,Exports,425578196606.9376
2024-02-01,Class 2,Gas,Exports,1024113229866.19
2024-02-01,Class 3,Materials,Imports,5188683438153.247
2024-02-01,Class 4,Blue loot,Exports,9203627641399.62
2024-02-01,Class 4,Blue loot,Imports,8265784828366.616
2024-02-01,Class 6,Materials,Exports,1429735840960.4976
2024-02-01,Class 6,Gas,Imports,98169619216.5289
2024-02-01,Class 6,Gas,Exports,213687221275.9353
2024-02-01,Class 6,Blue loot,Imports,2220011251191.7964
2024-02-01,Class 6,Blue loot,Exports,7629343031499.339
2024-02-01,Class 5,Materials,Imports,2782634128602.2915
2024-02-01,Class 5,Materials,Exports,3730698424832.0063
2024-02-01,Class 5,Gas,Imports,389976400433.0567
2024-02-01,Class 5,Gas,Exports,884113599487.067
2024-02-01,Class 5,Blue loot,Imports,3816181910262.409
2024-02-01,Class 5,Blue loot,Exports,17498345770404.57
2024-02-01,Class 4,Materials,Imports,3026153204936.244
2024-02-01,Class 4,Materials,Exports,3228519242112.5293
2024-02-01,Class 4,Gas,Imports,857917764428.3635
2024-02-01,Class 4,Gas,Exports,670329875528.0771
2024-02-01,Class 1,Blue loot,Imports,3166781928902.4526
2024-02-01,Class 1,Blue loot,Exports,3220424675984.5454
2024-02-01,Class 6,Materials,Imports,996085514323.3232
2024-03-01,Class 6,Gas,Imports,91610775094.5088
2024-03-01,Class 3,Blue loot,Imports,8691575517983.734
2024-03-01,Class 3,Blue loot,Exports,10502550768419.07
2024-03-01,Class 2,Materials,Imports,6493699350378.603
2024-03-01,Class 2,Materials,Exports,7258544814210.297
2024-03-01,Class 2,Gas,Imports,1029888560118.0238
2024-03-01,Class 2,Gas,Exports,1091196055651.585
2024-03-01,Class 3,Gas,Exports,1225939771695.7483
2024-03-01,Class 2,Blue loot,Imports,9021370764332.646
2024-03-01,Class 1,Materials,Imports,2620202032608.056
2024-03-01,Class 1,Materials,Exports,2743083537750.114
2024-03-01,Class 1,Gas,Imports,203955227479.5758
2024-03-01,Class 1,Gas,Exports,429827413314.3516
2024-03-01,Class 1,Blue loot,Imports,3095620869223.41
2024-03-01,Class 1,Blue loot,Exports,3139250025854.813
2024-03-01,Class 2,Blue loot,Exports,9153141507073.158
2024-03-01,Class 3,Gas,Imports,593055800780.0679
2024-03-01,Class 3,Materials,Exports,6200257373269.971
2024-03-01,Class 3,Materials,Imports,5406334210324.93
2024-03-01,Class 6,Gas,Exports,238584193032.8651
2024-03-01,Class 6,Blue loot,Imports,2820795878836.115
2024-03-01,Class 6,Blue loot,Exports,8276294823857.125
2024-03-01,Class 5,Materials,Imports,3306961568233.795
2024-03-01,Class 5,Materials,Exports,4480062646260.139
2024-03-01,Class 5,Gas,Imports,411419142480.4674
2024-03-01,Class 5,Gas,Exports,931923736103.3794
2024-03-01,Class 5,Blue loot,Imports,4918154575493.116
2024-03-01,Class 5,Blue loot,Exports,20447478713913.74
2024-03-01,Class 4,Materials,Imports,3438455853506.4316
2024-03-01,Class 4,Materials,Exports,3600550421569.9956
2024-03-01,Class 4,Gas,Imports,916084688356.3011
2024-03-01,Class 4,Gas,Exports,760271378125.6155
2024-03-01,Class 4,Blue loot,Imports,9569206223568.363
2024-03-01,Class 4,Blue loot,Exports,10697132114110.523
2024-03-01,Class 6,Materials,Exports,1821100596862.644
2024-03-01,Class 6,Materials,Imports,1046724133561.673
