history_date,primary_index,sub_index,price_change,total_value,price_change_weighted
2012-05-01,Consumer Price Index,Tech II Rigs,0.956111,7048931995397.4,-0.000854
2012-05-01,Consumer Price Index,Tech II modules,1.031692,24635329598723.668,0.002155
2012-05-01,Consumer Price Index,Tech II ships,1.083587,54124784988989.41,0.012489
2012-05-01,Consumer Price Index,Tech III ships,0.955312,10330181690980.264,-0.001274
2012-05-01,Consumer Price Index,Tech III subsystems,1.033439,16680506423121.205,0.001539
2012-05-01,Mineral Price Index,High-End Minerals,0.81328,12280991104242.844,-0.076442
2012-05-01,Mineral Price Index,Low-End Minerals,1.013621,17716622792977.777,0.008044
2012-05-01,Primary Producer Price Index,Advanced Moon Materials,1.053555,10848959352360.523,0.017943
2012-05-01,Primary Producer Price Index,Alloys & Compounds,0.970439,3602136745775.6094,-0.003288
2012-05-01,Primary Producer Price Index,Blueprints,1.029613,19812857156.3643,1.8e-05
2012-05-01,Primary Producer Price Index,Commodity,1.001722,251984510091.5427,1.3e-05
2012-05-01,Primary Producer Price Index,Datacores,1.052847,1986581471181.3953,0.003242
2012-05-01,Primary Producer Price Index,Decryptors,0.959593,819360594578.2445,-0.001022
2012-05-01,Primary Producer Price Index,Hybrid polymers,0.877505,1524561066428.6277,-0.005767
2012-05-01,Primary Producer Price Index,Ice,1.403144,2711289636722.004,0.033755
2012-05-01,Primary Producer Price Index,Ore,1.057453,1323774294803.9219,0.002348
2012-05-01,Primary Producer Price Index,Planetary Processed Materials,0.959832,443737521775.6861,-0.00055
2012-05-01,Primary Producer Price Index,Planetary Raw Materials,0.961951,36403129100.7821,-4.2e-05
2012-05-01,Primary Producer Price Index,Planetary Refined Commodities,0.975734,302853255341.9594,-0.000226
2012-05-01,Primary Producer Price Index,Planetary Specialized Commodities,0.957088,194460800326.8899,-0.000257
2012-05-01,Primary Producer Price Index,Processed Moon Materials,1.008147,1004229736479.8562,0.000252
2012-05-01,Primary Producer Price Index,Raw Moon Materials,1.100225,6703466216659.817,0.020748
2012-05-01,Primary Producer Price Index,Reaction,0.871421,7251376042.605,-2.8e-05
2012-05-01,Primary Producer Price Index,Reactions,0.998635,27209793068.9131,-1e-06
2012-05-01,Primary Producer Price Index,Sleeper relics,0.940115,572677840550.8702,-0.001059
2012-05-01,Secondary Producer Price Index,Advanced Capital Construction Components,2.71335,48696520404.2428,0.002968
2012-05-01,Secondary Producer Price Index,Ancient Salvaged Materials,0.935655,4227526376415.0654,-0.009679
2012-05-01,Secondary Producer Price Index,Blueprints,1.000799,6113098143437.554,0.000173
2012-05-01,Secondary Producer Price Index,Boosters,1.840606,15269702709.4578,0.000456
2012-05-01,Secondary Producer Price Index,Capital Ship Components,0.979772,513339135095.4757,-0.000369
2012-05-01,Secondary Producer Price Index,Commodity,1.023665,2465157504416.512,0.002075
2012-05-01,Secondary Producer Price Index,Planetary Advanced Commodities,0.931304,1291910651776.2656,-0.003158
2012-05-01,Secondary Producer Price Index,Planetary Commodities,0.982527,104830251812.693,-6.5e-05
2012-05-01,Secondary Producer Price Index,Planetary Refined Commodities,0.9061,2019073336642.1897,-0.006746
2012-05-01,Secondary Producer Price Index,Planetary Specialized Commodities,0.974521,1172767518549.7603,-0.001063
2012-05-01,Secondary Producer Price Index,Salvaged materials,0.981034,6630747474968.226,-0.004474
2012-05-01,Secondary Producer Price Index,Starbase structures,0.930638,1185419395093.7188,-0.002925
2012-05-01,Secondary Producer Price Index,Station components,1.314376,42515493582.1677,0.000475
2012-05-01,Secondary Producer Price Index,Tech II construction components,1.125303,2229839254216.162,0.009942
2012-05-01,Secondary Producer Price Index,Tech III Subsystem Components,0.919096,42601467644.9989,-0.000122
2012-06-01,Consumer Price Index,Ammo,0.975076,15337619043811.898,-0.001062
2012-06-01,Consumer Price Index,Apparel,0.81867,576292643014.2664,-0.00029
2012-06-01,Consumer Price Index,Boosters,0.994968,274980842572.2046,-3e-06
2012-06-01,Consumer Price Index,Commodity,0.969506,89714903716.705,-7e-06
2012-06-01,Consumer Price Index,Complimentary ships,0.942076,99319835533.3876,-1.5e-05
2012-06-01,Consumer Price Index,Drone,0.41379,7074195216.811,-1.1e-05
2012-06-01,Consumer Price Index,Drones,0.988694,3734770980345.1396,-0.000117
2012-06-01,Consumer Price Index,Faction Ships,0.961756,24701246319935.01,-0.002625
2012-06-01,Consumer Price Index,Ice Products,1.154498,21977817672030.84,0.009438
2012-06-01,Consumer Price Index,Implants,0.931129,30272818603003.418,-0.005795
2012-06-01,Consumer Price Index,Insignias,0.908531,6005963917582.306,-0.001526
2012-06-01,Consumer Price Index,Orbitals,0.863432,377404441839.2782,-0.000143
2012-06-01,Consumer Price Index,POS Fuel,1.102124,11206368009199.59,0.003181
2012-06-01,Consumer Price Index,Planetary Infrastructure,0.974386,54377648836.616,-3e-06
2012-06-01,Consumer Price Index,Scripts,0.966089,9022647276.1464,0.0
2012-06-01,Consumer Price Index,Skills,0.997563,20688161755983.81,-0.00014
2012-06-01,Consumer Price Index,Sovereignty Structures,1.057492,379349980327.547,6e-05
2012-06-01,Consumer Price Index,Starbase structures,0.904173,5919850744163.382,-0.001576
2012-06-01,Consumer Price Index,Tech I Rigs,0.994497,10086169463139.896,-0.000154
2012-06-01,Consumer Price Index,Tech I modules,0.93508,59034241546781.16,-0.010652
2012-06-01,Consumer Price Index,Tech I ships,0.993773,48580687705778.664,-0.00084
2012-06-01,Consumer Price Index,Tech II Rigs,0.895397,6297323125560.835,-0.00183
2012-06-01,Consumer Price Index,Tech II modules,1.003992,23720230636832.477,0.000263
2012-06-01,Consumer Price Index,Tech II ships,0.996529,46699545049209.766,-0.00045
2012-06-01,Consumer Price Index,Tech III ships,0.916051,8557142422521.889,-0.001996
2012-06-01,Consumer Price Index,Tech III subsystems,0.916211,15078900300995.668,-0.003511
2012-06-01,Mineral Price Index,High-End Minerals,0.810663,8036040228614.318,-0.064687
2012-06-01,Mineral Price Index,Low-End Minerals,1.074132,15485127528314.744,0.048804
2012-06-01,Primary Producer Price Index,Advanced Moon Materials,0.989939,9458214587307.396,-0.003608
2012-06-01,Primary Producer Price Index,Alloys & Compounds,1.024256,1772559155530.9192,0.00163
2012-06-01,Primary Producer Price Index,Blueprints,0.997828,23244470016.3728,-1e-06
2012-06-01,Primary Producer Price Index,Commodity,0.905615,215680537428.7454,-0.000771
2012-06-01,Primary Producer Price Index,Datacores,0.693201,2095025895934.6614,-0.02437
2012-06-01,Primary Producer Price Index,Decryptors,0.933963,736530593273.57,-0.001844
2012-06-01,Primary Producer Price Index,Hybrid polymers,0.899041,1304270415899.8662,-0.004992
2012-06-01,Primary Producer Price Index,Ice,1.132043,1868489461808.7715,0.009354
2012-06-01,Primary Producer Price Index,Ore,0.980053,1125824767520.6245,-0.000851
2012-06-01,Primary Producer Price Index,Planetary Processed Materials,0.853913,367938885517.3472,-0.002038
2012-06-01,Primary Producer Price Index,Planetary Raw Materials,0.971512,41697202623.7834,-4.5e-05
2012-06-01,Primary Producer Price Index,Planetary Refined Commodities,0.777381,223958017195.6024,-0.00189
2012-06-01,Primary Producer Price Index,Planetary Specialized Commodities,0.803082,159473958067.3243,-0.00119
2012-06-01,Primary Producer Price Index,Processed Moon Materials,0.917328,786489648895.5825,-0.002465
2012-06-01,Primary Producer Price Index,Raw Moon Materials,0.917253,5436332008245.245,-0.017056
2012-06-01,Primary Producer Price Index,Reaction,0.83948,3318559929.4821,-2e-05
2012-06-01,Primary Producer Price Index,Reactions,0.967683,23120002620.3523,-2.8e-05
2012-06-01,Primary Producer Price Index,Sleeper relics,1.151584,731527610525.794,0.004204
2012-06-01,Secondary Producer Price Index,Advanced Capital Construction Components,1.127124,23210122815.1029,0.000118
2012-06-01,Secondary Producer Price Index,Ancient Salvaged Materials,0.972824,4149891222721.99,-0.004517
2012-06-01,Secondary Producer Price Index,Blueprints,0.999464,5306229864938.797,-0.000113
2012-06-01,Secondary Producer Price Index,Boosters,0.41042,9021212721.8959,-0.000213
2012-06-01,Secondary Producer Price Index,Capital Ship Components,0.980232,354042651591.1533,-0.00028
2012-06-01,Secondary Producer Price Index,Commodity,0.993714,2202343292298.5293,-0.000554
2012-06-01,Secondary Producer Price Index,Planetary Advanced Commodities,0.871753,1128799674335.4807,-0.005798
2012-06-01,Secondary Producer Price Index,Planetary Commodities,0.863415,80474967845.1028,-0.00044
2012-06-01,Secondary Producer Price Index,Planetary Refined Commodities,0.897547,1686833722712.8176,-0.006922
2012-06-01,Secondary Producer Price Index,Planetary Specialized Commodities,0.927437,936567260505.1405,-0.002722
2012-06-01,Secondary Producer Price Index,Salvaged materials,0.92291,6419198708761.07,-0.019822
2012-06-01,Secondary Producer Price Index,Starbase structures,0.826006,963407322561.4606,-0.006714
2012-06-01,Secondary Producer Price Index,Station components,1.937677,45562192214.2401,0.001711
2012-06-01,Secondary Producer Price Index,Tech II construction components,0.975507,1613019737015.0884,-0.001582
2012-06-01,Secondary Producer Price Index,Tech III Subsystem Components,0.920282,46364833240.6173,-0.000148
2012-07-01,Consumer Price Index,Ammo,0.984393,15420770735230.164,-0.000675
2012-07-01,Consumer Price Index,Apparel,1.047333,927093093380.44,0.000123
2012-07-01,Consumer Price Index,Boosters,1.051641,269122568894.6498,3.8e-05
2012-07-01,Consumer Price Index,Commodity,0.912954,82996011770.1694,-2e-05
2012-07-01,Consumer Price Index,Complimentary ships,1.076871,99694559140.4504,2.1e-05
2012-07-01,Consumer Price Index,Drone,0.875095,11652888634.8956,-4e-06
2012-07-01,Consumer Price Index,Drones,1.024961,2794550847513.3765,0.000195
2012-07-01,Consumer Price Index,Faction Ships,0.987645,23505716094605.152,-0.000814
2012-07-01,Consumer Price Index,Ice Products,0.89639,20571809226358.727,-0.00598
2012-07-01,Consumer Price Index,Implants,0.976293,31076868819676.293,-0.002067
2012-07-01,Consumer Price Index,Insignias,1.025876,5787772471148.854,0.00042
2012-07-01,Consumer Price Index,Orbitals,1.007108,278007435425.192,5e-06
2012-07-01,Consumer Price Index,POS Fuel,0.909638,9304272916724.076,-0.002358
2012-07-01,Consumer Price Index,Planetary Infrastructure,0.943497,45243101687.2362,-7e-06
2012-07-01,Consumer Price Index,Scripts,0.996609,24441596383.2644,0.0
2012-07-01,Consumer Price Index,Skills,0.999698,20082644107859.184,-1.7e-05
2012-07-01,Consumer Price Index,Sovereignty Structures,0.939098,400485011868.7956,-6.8e-05
2012-07-01,Consumer Price Index,Starbase structures,0.992714,5070043125619.625,-0.000103
2012-07-01,Consumer Price Index,Tech I Rigs,0.994679,9950540786158.68,-0.000148
2012-07-01,Consumer Price Index,Tech I modules,0.995313,64425991488131.64,-0.000847
2012-07-01,Consumer Price Index,Tech I ships,1.055954,48071140207146.62,0.007546
2012-07-01,Consumer Price Index,Tech II Rigs,0.964739,5965494780057.1455,-0.00059
2012-07-01,Consumer Price Index,Tech II modules,1.022259,23597909156658.94,0.001473
2012-07-01,Consumer Price Index,Tech II ships,1.012056,43752583679683.28,0.00148
2012-07-01,Consumer Price Index,Tech III ships,1.000074,9015064044703.86,1e-06
2012-07-01,Consumer Price Index,Tech III subsystems,1.028492,15873802351157.13,0.001268
2012-07-01,Mineral Price Index,High-End Minerals,0.915089,5541614703963.635,-0.022403
2012-07-01,Mineral Price Index,Low-End Minerals,1.102033,15461595694444.803,0.075111
2012-07-01,Primary Producer Price Index,Advanced Moon Materials,0.925,8466716902822.073,-0.027287
2012-07-01,Primary Producer Price Index,Alloys & Compounds,1.0433,661479634008.6404,0.00123
2012-07-01,Primary Producer Price Index,Blueprints,0.995545,11110157373.0818,-2e-06
2012-07-01,Primary Producer Price Index,Commodity,1.011123,211629021042.9245,0.000101
2012-07-01,Primary Producer Price Index,Datacores,1.04575,1748864408660.6687,0.003438
2012-07-01,Primary Producer Price Index,Decryptors,1.08346,707235765149.8745,0.002536
2012-07-01,Primary Producer Price Index,Hybrid polymers,0.96962,1274474809102.4348,-0.001663
2012-07-01,Primary Producer Price Index,Ice,0.866354,2352602879289.1465,-0.013511
2012-07-01,Primary Producer Price Index,Ore,1.045007,1188000634660.6313,0.002297
2012-07-01,Primary Producer Price Index,Planetary Processed Materials,0.914814,271934982207.8809,-0.000995
2012-07-01,Primary Producer Price Index,Planetary Raw Materials,0.957774,28356797542.6127,-5.1e-05
2012-07-01,Primary Producer Price Index,Planetary Refined Commodities,0.921145,148088729211.9486,-0.000501
2012-07-01,Primary Producer Price Index,Planetary Specialized Commodities,0.968676,131006371130.5714,-0.000176
2012-07-01,Primary Producer Price Index,Processed Moon Materials,0.982111,798615864295.0216,-0.000613
2012-07-01,Primary Producer Price Index,Raw Moon Materials,0.823177,4537536797259.569,-0.034478
2012-07-01,Primary Producer Price Index,Reaction,0.927617,3575458879.449,-1.1e-05
2012-07-01,Primary Producer Price Index,Reactions,0.989284,22741107950.0128,-1e-05
2012-07-01,Primary Producer Price Index,Sleeper relics,1.0961,706847354212.0005,0.002919
2012-07-01,Secondary Producer Price Index,Advanced Capital Construction Components,0.59205,11433513477.8416,-0.000218
2012-07-01,Secondary Producer Price Index,Ancient Salvaged Materials,1.058839,3726948020245.229,0.010289
2012-07-01,Secondary Producer Price Index,Blueprints,0.994971,4082914325455.475,-0.000963
2012-07-01,Secondary Producer Price Index,Boosters,1.062977,6797168965.0327,2e-05
2012-07-01,Secondary Producer Price Index,Capital Ship Components,1.091725,277156270747.5906,0.001192
2012-07-01,Secondary Producer Price Index,Commodity,0.982566,2036297651320.9902,-0.001665
2012-07-01,Secondary Producer Price Index,Planetary Advanced Commodities,1.000601,850444614636.1099,2.3e-05
2012-07-01,Secondary Producer Price Index,Planetary Commodities,1.055286,72368179918.0665,0.000187
2012-07-01,Secondary Producer Price Index,Planetary Refined Commodities,1.00703,1527321488235.5737,0.000503
2012-07-01,Secondary Producer Price Index,Planetary Specialized Commodities,0.999647,886725779121.1497,-1.4e-05
2012-07-01,Secondary Producer Price Index,Salvaged materials,0.968816,5475788364286.521,-0.008011
2012-07-01,Secondary Producer Price Index,Starbase structures,0.99022,883030382546.4174,-0.000405
2012-07-01,Secondary Producer Price Index,Station components,0.598468,16913788435.9763,-0.000318
2012-07-01,Secondary Producer Price Index,Tech II construction components,0.964575,1416255943237.2634,-0.002354
2012-07-01,Secondary Producer Price Index,Tech III Subsystem Components,1.045286,42327269349.0506,8.9e-05
2012-08-01,Consumer Price Index,Ammo,0.977891,16482757710290.635,-0.000968
2012-08-01,Consumer Price Index,Apparel,0.941406,805885514667.8562,-0.000125
2012-08-01,Consumer Price Index,Boosters,1.084453,346182741003.6562,7.7e-05
2012-08-01,Consumer Price Index,Commodity,1.009448,88645856902.5224,2e-06
2012-08-01,Consumer Price Index,Complimentary ships,0.973039,99557573557.8212,-7e-06
2012-08-01,Consumer Price Index,Drone,0.950457,9465191042.5944,-1e-06
2012-08-01,Consumer Price Index,Drones,0.985092,2966343290139.8945,-0.000117
2012-08-01,Consumer Price Index,Faction Ships,0.951118,24092305937803.51,-0.00313
2012-08-01,Consumer Price Index,Ice Products,0.667484,15776716569548.623,-0.013946
2012-08-01,Consumer Price Index,Implants,0.95571,31515598246115.484,-0.00371
2012-08-01,Consumer Price Index,Insignias,1.029472,6709049794972.537,0.000525
2012-08-01,Consumer Price Index,Orbitals,0.955142,310518871742.0862,-3.7e-05
2012-08-01,Consumer Price Index,POS Fuel,0.826386,8672715157273.066,-0.004002
2012-08-01,Consumer Price Index,Planetary Infrastructure,1.087576,57308292207.5514,1.3e-05
2012-08-01,Consumer Price Index,Scripts,0.992479,20698585404.9844,0.0
2012-08-01,Consumer Price Index,Skills,1.000019,21145029462919.367,1e-06
2012-08-01,Consumer Price Index,Sovereignty Structures,0.937142,434540111260.4232,-7.2e-05
2012-08-01,Consumer Price Index,Starbase structures,1.097253,6058468532953.186,0.001566
2012-08-01,Consumer Price Index,Tech I Rigs,1.017596,10687356783321.125,0.000499
2012-08-01,Consumer Price Index,Tech I modules,0.99504,72109082242279.61,-0.00095
2012-08-01,Consumer Price Index,Tech I ships,1.011018,52144264118890.09,0.001527
2012-08-01,Consumer Price Index,Tech II Rigs,0.974326,6681439492127.332,-0.000456
2012-08-01,Consumer Price Index,Tech II modules,0.989334,25846351873099.285,-0.000732
2012-08-01,Consumer Price Index,Tech II ships,0.95406,47693532810652.88,-0.005824
2012-08-01,Consumer Price Index,Tech III ships,0.97022,9182365106498.812,-0.000726
2012-08-01,Consumer Price Index,Tech III subsystems,0.958286,16225691892096.043,-0.001799
2012-08-01,Mineral Price Index,High-End Minerals,0.882949,5780127751961.992,-0.028741
2012-08-01,Mineral Price Index,Low-End Minerals,0.972863,17759686970969.355,-0.020473
2012-08-01,Primary Producer Price Index,Advanced Moon Materials,0.942158,9676894583119.172,-0.022691
2012-08-01,Primary Producer Price Index,Alloys & Compounds,0.901857,312654730933.577,-0.001243
2012-08-01,Primary Producer Price Index,Blueprints,1.012717,12891178957.97,6e-06
2012-08-01,Primary Producer Price Index,Commodity,1.073284,259569142856.9061,0.000771
2012-08-01,Primary Producer Price Index,Datacores,0.924351,1314995532561.946,-0.004032
2012-08-01,Primary Producer Price Index,Decryptors,1.121092,926473938599.1405,0.004548
2012-08-01,Primary Producer Price Index,Hybrid polymers,1.025129,1242899911947.5007,0.001266
2012-08-01,Primary Producer Price Index,Ice,0.670857,1734524830293.7656,-0.023144
2012-08-01,Primary Producer Price Index,Ore,0.973143,1235914801165.3677,-0.001345
2012-08-01,Primary Producer Price Index,Planetary Processed Materials,1.074019,324446192572.152,0.000973
2012-08-01,Primary Producer Price Index,Planetary Raw Materials,1.825894,63021193316.9105,0.00211
2012-08-01,Primary Producer Price Index,Planetary Refined Commodities,1.06148,192815314324.2233,0.00048
2012-08-01,Primary Producer Price Index,Planetary Specialized Commodities,1.052148,207214721307.3647,0.000438
2012-08-01,Primary Producer Price Index,Processed Moon Materials,1.072197,1035616096491.8085,0.003031
2012-08-01,Primary Producer Price Index,Raw Moon Materials,0.864382,5496034656096.522,-0.030216
2012-08-01,Primary Producer Price Index,Reaction,1.470188,7777187790.0627,0.000148
2012-08-01,Primary Producer Price Index,Reactions,1.051029,22481707627.4552,4.6e-05
2012-08-01,Primary Producer Price Index,Sleeper relics,0.80719,600853208051.265,-0.004696
2012-08-01,Secondary Producer Price Index,Advanced Capital Construction Components,0.949436,11774977505.5151,-2.4e-05
2012-08-01,Secondary Producer Price Index,Ancient Salvaged Materials,0.987689,4468903881514.963,-0.002236
2012-08-01,Secondary Producer Price Index,Blueprints,1.018203,4945566783143.106,0.003659
2012-08-01,Secondary Producer Price Index,Boosters,1.819008,11842166380.8588,0.000394
2012-08-01,Secondary Producer Price Index,Capital Ship Components,1.031225,353245020876.7438,0.000448
2012-08-01,Secondary Producer Price Index,Commodity,1.025814,1916645414272.13,0.002011
2012-08-01,Secondary Producer Price Index,Planetary Advanced Commodities,1.008785,1022119607233.6324,0.000365
2012-08-01,Secondary Producer Price Index,Planetary Commodities,1.167583,108110788521.1925,0.000736
2012-08-01,Secondary Producer Price Index,Planetary Refined Commodities,1.14694,1893434257490.9207,0.01131
2012-08-01,Secondary Producer Price Index,Planetary Specialized Commodities,1.169223,1222698220438.83,0.008411
2012-08-01,Secondary Producer Price Index,Salvaged materials,1.003526,5979586741857.229,0.000857
2012-08-01,Secondary Producer Price Index,Starbase structures,1.072037,998787545451.623,0.002924
2012-08-01,Secondary Producer Price Index,Station components,0.229843,1607961963.388,-5e-05
2012-08-01,Secondary Producer Price Index,Tech II construction components,0.98297,1623644940295.1174,-0.001124
2012-08-01,Secondary Producer Price Index,Tech III Subsystem Components,1.103849,40988447312.4539,0.000173
2012-09-01,Consumer Price Index,Ammo,0.979253,16579865387592.6,-0.000903
2012-09-01,Consumer Price Index,Apparel,0.922834,585242630014.4458,-0.000118
2012-09-01,Consumer Price Index,Boosters,0.988358,486783327469.6884,-1.4e-05
2012-09-01,Consumer Price Index,Commodity,0.923307,83484625450.6224,-1.6e-05
2012-09-01,Consumer Price Index,Complimentary ships,0.998071,93165672678.659,0.0
2012-09-01,Consumer Price Index,Drone,0.9004,6998386912.002,-1e-06
2012-09-01,Consumer Price Index,Drones,1.001675,3601254574467.4307,1.5e-05
2012-09-01,Consumer Price Index,Faction Ships,0.990103,25610251255849.58,-0.000665
2012-09-01,Consumer Price Index,Ice Products,0.665933,12377633987958.332,-0.010863
2012-09-01,Consumer Price Index,Implants,0.967805,34067801283539.105,-0.002881
2012-09-01,Consumer Price Index,Insignias,1.002461,6774857208061.357,4.3e-05
2012-09-01,Consumer Price Index,Orbitals,1.008197,329091454152.0144,7e-06
2012-09-01,Consumer Price Index,POS Fuel,0.828418,8429130521126.108,-0.003799
2012-09-01,Consumer Price Index,Planetary Infrastructure,0.964071,50363176989.5646,-4e-06
2012-09-01,Consumer Price Index,Scripts,1.183091,21053061862.7622,1e-05
2012-09-01,Consumer Price Index,Skills,1.003491,21352100568802.92,0.000195
2012-09-01,Consumer Price Index,Sovereignty Structures,1.058766,484594549401.7922,7.4e-05
2012-09-01,Consumer Price Index,Starbase structures,1.086235,7649480493818.778,0.001733
2012-09-01,Consumer Price Index,Tech I Rigs,1.06297,11693394987246.324,0.001934
2012-09-01,Consumer Price Index,Tech I modules,1.006004,73560197095343.1,0.00116
2012-09-01,Consumer Price Index,Tech I ships,1.000872,54030256402670.66,0.000123
2012-09-01,Consumer Price Index,Tech II Rigs,0.962146,6749898991535.088,-0.000671
2012-09-01,Consumer Price Index,Tech II modules,0.920122,24572078581305.453,-0.005156
2012-09-01,Consumer Price Index,Tech II ships,0.937454,49086017273956.19,-0.008066
2012-09-01,Consumer Price Index,Tech III ships,0.973416,8436335991156.236,-0.000589
2012-09-01,Consumer Price Index,Tech III subsystems,0.90784,13911106444329.508,-0.003368
2012-09-01,Mineral Price Index,High-End Minerals,1.009505,5768552050005.175,0.002326
2012-09-01,Mineral Price Index,Low-End Minerals,0.995038,17801695302590.52,-0.003747
2012-09-01,Primary Producer Price Index,Advanced Moon Materials,0.948768,9504450977339.29,-0.020091
2012-09-01,Primary Producer Price Index,Alloys & Compounds,0.934095,241781423069.893,-0.000657
2012-09-01,Primary Producer Price Index,Blueprints,1.002687,20823244849.1686,2e-06
2012-09-01,Primary Producer Price Index,Commodity,0.965288,254402839234.3588,-0.000364
2012-09-01,Primary Producer Price Index,Datacores,0.964303,1532149557213.725,-0.002256
2012-09-01,Primary Producer Price Index,Decryptors,0.920112,853606634311.7085,-0.002813
2012-09-01,Primary Producer Price Index,Hybrid polymers,0.908749,1051669997956.6588,-0.003959
2012-09-01,Primary Producer Price Index,Ice,0.66429,1326872704129.6372,-0.018379
2012-09-01,Primary Producer Price Index,Ore,0.947145,1656731806310.338,-0.003613
2012-09-01,Primary Producer Price Index,Planetary Processed Materials,1.145282,381062871200.7253,0.002284
2012-09-01,Primary Producer Price Index,Planetary Raw Materials,0.627791,27635362379.3645,-0.000424
2012-09-01,Primary Producer Price Index,Planetary Refined Commodities,1.055044,195967658861.1659,0.000445
2012-09-01,Primary Producer Price Index,Planetary Specialized Commodities,1.116721,231195157844.4186,0.001113
2012-09-01,Primary Producer Price Index,Processed Moon Materials,0.93326,1210593767446.0183,-0.003333
2012-09-01,Primary Producer Price Index,Raw Moon Materials,1.060684,5268356692219.486,0.013191
2012-09-01,Primary Producer Price Index,Reaction,0.8527,13284940656.9993,-8e-05
2012-09-01,Primary Producer Price Index,Reactions,0.987688,29494837142.3485,-1.4e-05
2012-09-01,Primary Producer Price Index,Sleeper relics,0.613777,435867207920.7449,-0.006945
2012-09-01,Secondary Producer Price Index,Advanced Capital Construction Components,3.554565,60873068603.0639,0.005563
2012-09-01,Secondary Producer Price Index,Ancient Salvaged Materials,0.884873,4051278324635.579,-0.016688
2012-09-01,Secondary Producer Price Index,Blueprints,1.202752,7554360715950.256,0.054802
2012-09-01,Secondary Producer Price Index,Boosters,1.332392,16365899863.7392,0.000194
2012-09-01,Secondary Producer Price Index,Capital Ship Components,1.051659,357418980060.8796,0.00066
2012-09-01,Secondary Producer Price Index,Commodity,0.987184,1839817035380.5837,-0.000843
2012-09-01,Secondary Producer Price Index,Planetary Advanced Commodities,1.108873,1166894345968.6587,0.004545
2012-09-01,Secondary Producer Price Index,Planetary Commodities,1.36835,143302954884.5545,0.001888
2012-09-01,Secondary Producer Price Index,Planetary Refined Commodities,1.173739,2665807034866.7607,0.016571
2012-09-01,Secondary Producer Price Index,Planetary Specialized Commodities,1.049745,1493428082257.5913,0.002658
2012-09-01,Secondary Producer Price Index,Salvaged materials,0.971758,5930620845119.165,-0.005992
2012-09-01,Secondary Producer Price Index,Starbase structures,0.945401,920267392359.6157,-0.001797
2012-09-01,Secondary Producer Price Index,Station components,1.093346,164171544.488,0.0
2012-09-01,Secondary Producer Price Index,Tech II construction components,0.930948,1708122844786.0398,-0.00422
2012-09-01,Secondary Producer Price Index,Tech III Subsystem Components,0.847328,39994545782.9024,-0.000218
2012-10-01,Consumer Price Index,Ammo,0.979883,14823382626117.172,-0.000862
2012-10-01,Consumer Price Index,Apparel,1.018693,560072567262.9718,3e-05
2012-10-01,Consumer Price Index,Boosters,0.996786,369800453761.3464,-3e-06
2012-10-01,Consumer Price Index,Commodity,0.989349,94553847534.4868,-2e-06
2012-10-01,Consumer Price Index,Complimentary ships,1.027763,82639100076.6412,6e-06
2012-10-01,Consumer Price Index,Drone,0.875858,6688074812.9148,-2e-06
2012-10-01,Consumer Price Index,Drones,0.993163,2983682648177.999,-5.8e-05
2012-10-01,Consumer Price Index,Faction Ships,0.984083,23634585352956.746,-0.001087
2012-10-01,Consumer Price Index,Ice Products,1.059389,13354015379299.715,0.002292
2012-10-01,Consumer Price Index,Implants,0.973244,31200479513813.52,-0.002413
2012-10-01,Consumer Price Index,Insignias,1.063833,6336796095761.97,0.001169
2012-10-01,Consumer Price Index,Orbitals,0.990605,296010666693.8796,-8e-06
2012-10-01,Consumer Price Index,POS Fuel,0.983317,8893576336497.773,-0.000428
2012-10-01,Consumer Price Index,Planetary Infrastructure,1.019349,51865967474.446,2e-06
2012-10-01,Consumer Price Index,Scripts,1.105623,11660682193.2492,3e-06
2012-10-01,Consumer Price Index,Skills,0.997498,20933467611820.96,-0.000151
2012-10-01,Consumer Price Index,Sovereignty Structures,1.057519,392840719227.5232,6.5e-05
2012-10-01,Consumer Price Index,Starbase structures,0.982623,7030416838286.966,-0.000353
2012-10-01,Consumer Price Index,Tech I Rigs,0.923403,8568377459597.432,-0.001897
2012-10-01,Consumer Price Index,Tech I modules,1.008666,71573498189939.28,0.001792
2012-10-01,Consumer Price Index,Tech I ships,0.998864,47351931970122.9,-0.000155
2012-10-01,Consumer Price Index,Tech II Rigs,0.975496,6785122849140.021,-0.00048
2012-10-01,Consumer Price Index,Tech II modules,0.944541,20907576777662.15,-0.003351
2012-10-01,Consumer Price Index,Tech II ships,0.974487,39801187403907.46,-0.002935
2012-10-01,Consumer Price Index,Tech III ships,0.977652,7935234674762.486,-0.000512
2012-10-01,Consumer Price Index,Tech III subsystems,0.889658,11957840575499.432,-0.003814
2012-10-01,Mineral Price Index,High-End Minerals,1.038852,6143788181844.1045,0.010125
2012-10-01,Mineral Price Index,Low-End Minerals,0.998718,17431214752299.203,-0.000947
2012-10-01,Primary Producer Price Index,Advanced Moon Materials,0.96639,8458691059552.881,-0.013776
2012-10-01,Primary Producer Price Index,Alloys & Compounds,1.125762,167758173989.5173,0.001022
2012-10-01,Primary Producer Price Index,Blueprints,1.051561,14762960840.8284,3.6e-05
2012-10-01,Primary Producer Price Index,Commodity,1.021147,239407958360.0736,0.000245
2012-10-01,Primary Producer Price Index,Datacores,0.90237,1233690677518.2844,-0.005836
2012-10-01,Primary Producer Price Index,Decryptors,0.915636,709395212624.626,-0.0029
