history_date,primary_index,sub_index,price_change,total_value,price_change_weighted
2004-02-01,Consumer Price Index,Drones,0.913162,4649107876.3252,-0.000794
2004-02-01,Consumer Price Index,Implants,0.723256,57661725153.4054,-0.031416
2004-02-01,Consumer Price Index,Skills,0.896832,83734318350.653,-0.017007
2004-02-01,Consumer Price Index,Starbase structures,0.996315,9254043434.7944,-6.7e-05
2004-02-01,Consumer Price Index,Tech I modules,0.853498,53342425692.0162,-0.015385
2004-02-01,Consumer Price Index,Tech I ships,0.928711,274527328595.98,-0.038529
2004-02-01,Consumer Price Index,Tech II modules,0.856717,6458126522.6142,-0.001821
2004-02-01,Mineral Price Index,High-End Minerals,0.801503,125299864148.7698,-0.104574
2004-02-01,Mineral Price Index,Low-End Minerals,1.01,112537635768.2521,0.004731
2004-02-01,Primary Producer Price Index,Commodity,0.691587,811617235.616,-0.014804
2004-02-01,Primary Producer Price Index,Ore,0.977456,11965333039.9769,-0.015954
2004-02-01,Primary Producer Price Index,Planetary Processed Materials,1.005237,845586940.0533,0.000261
2004-02-01,Primary Producer Price Index,Planetary Refined Commodities,0.922131,2724405748.2426,-0.012547
2004-02-01,Primary Producer Price Index,Planetary Specialized Commodities,1.079308,560599761.3018,0.002629
2004-02-01,Secondary Producer Price Index,Blueprints,1.003914,55616110998.2714,0.002301
2004-02-01,Secondary Producer Price Index,Commodity,0.99283,29989634591.5386,-0.002273
2004-02-01,Secondary Producer Price Index,Planetary Commodities,0.990691,644058604.042,-6.3e-05
2004-02-01,Secondary Producer Price Index,Planetary Refined Commodities,1.010734,3668142521.7879,0.000416
2004-02-01,Secondary Producer Price Index,Planetary Specialized Commodities,0.958168,1284774960.8288,-0.000568
2004-02-01,Secondary Producer Price Index,Tech II construction components,1.432444,3372949113.4562,0.015422
2004-03-01,Consumer Price Index,Ammo,0.906207,21598126908.0966,-0.002982
2004-03-01,Consumer Price Index,Commodity,0.99612,2785647479.0518,-1.5e-05
2004-03-01,Consumer Price Index,Drones,0.930775,5625411547.6712,-0.000573
2004-03-01,Consumer Price Index,Implants,0.969506,85791560759.8564,-0.003852
