history_date,region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
2022-04-01,10000013,Malpais,108596998401419.8,46422749116.806694,24493609390868.32,34600961357.2327,750656697382.0,202907990122.48,2647506635986.5176,337097665617.16003,,,
2022-04-01,10000042,Metropolis,176236751702661.1,232546089773.5043,172650221432720.25,231777551072.3987,564998082717.0,935095495850.29,1217679308850.0896,9014848618551.27,,,
2022-04-01,10000007,Cache,12581687609275.62,11862299770.9234,13081547960542.998,12358371456.127602,254481276957.0,120715339652.82,59220101027.3089,5064361134.0,,,
2022-04-01,10000014,Catch,27456804416616.414,30765793175.2765,25691664104223.543,27928670959.9564,522659302540.0,438905631422.89,414098087586.0085,92338873783.46,,,
2022-04-01,10000051,Cloud Ring,12341587182098.486,6746887681.662,12252443397189.064,6165092778.1895,122945993336.0,249007442724.06,161278742772.7345,8624376335.1,,,
2022-04-01,10000053,Cobalt Edge,4719544385506.259,3949641138.7154,3671305936345.472,2987158947.1464,272730774292.0,154225350208.64,580831081075.1884,31587244390.9,,,
2022-04-01,10000012,Curse,17215165590871.637,12839458658.72,11024838352480.797,9379412247.9725,50305621173.0,107173424473.33,51587320860.7927,56608169171.66,,,
2022-04-01,10000035,Deklein,18302808303117.496,10475075779.6805,12216963765614.58,9276019001.0445,535822691728.0,211167808986.47,888406008267.2317,21906802598.82,,,
2022-04-01,10000060,Delve,55640446118536.85,77441998715.7465,76853946204088.94,90182203676.0974,1613304242146.0,1075638868027.17,12792903467853.771,13164857608223.385,,,
2022-04-01,10000001,Derelik,74606565063289.5,109199202194.0513,72738048476874.22,113137635063.0276,55930897252.0,308095910334.8,567437513790.1656,1672522322443.6602,,,
2022-04-01,10000005,Detorid,19007653462276.336,28295234641.3984,25815588068450.23,26200384410.6767,606776415406.0,255409667026.67,1115781870275.9712,7454316248.469999,,,
2022-04-01,10000036,Devoid,63848928463342.25,98842850930.531,62899945533793.04,99005776963.1261,43567181584.0,481440021215.37,204028056596.2152,777498224044.3701,,,
2022-04-01,10000043,Domain,112521382957603.4,161314307246.9591,120253051732149.86,160674251562.4389,223270945825.0,646470904036.48,2480751813778.2554,39691431051174.7,,,
2022-04-01,10000039,Esoteria,28875752168392.08,47509052246.938,28146992827850.875,46898100105.548,630947895379.0,645871057773.16,607372632563.9296,635327188903.2401,,,
2022-04-01,10000064,Essence,194060145597086.1,280883978869.5083,190954865350493.9,282230596219.5527,99624975769.0,441741401799.65,978694661908.9452,4046059257864.3306,,,
2022-04-01,10000027,Etherium Reach,42532926477802.96,40343578945.3246,40294625513126.695,36292786234.0001,552638658684.0,466438198596.1,968463048248.7378,360614699731.9499,,,
2022-04-01,10000055,Branch,6986385357821.039,6355734102.7554,4996582882037.45,4815268340.9011,559395489405.0,263218327705.65,953407327440.496,108354208247.8,,,
2022-04-01,10000016,Lonetrek,255385353314365.56,258051514806.8682,248260895217657.75,258695009369.642,460500811054.0,1373057520290.0,6349349380497.021,15572676481279.797,,,
2022-04-01,10000037,Everyshore,45382796587039.49,72835518475.5322,42589562243330.21,72168125022.4265,109787984903.0,184313809637.52,651977264733.9977,1948727828892.18,,,
2022-04-01,10000065,Kor-Azor,76917890617541.1,78958165663.1646,70430531740844.88,76048934956.16809,97754673092.0,118153702536.98,364322339824.7824,1737710143440.15,,,
2022-04-01,10000049,Khanid,68514144764566.53,58458132316.448,67785465112090.266,58122677023.514694,39907636903.0,119490116163.79,259692729742.0365,516879285817.63,,,
2022-04-01,10000052,Kador,51596647673114.87,50383798199.7132,46147028410146.85,49979707648.5127,143589710777.0,146504369812.59,818466784054.9609,1123430545891.13,,,
2022-04-01,10000031,Impass,18873504385154.07,19814787442.8392,15790032032343.447,16103652308.3607,333051720857.0,149829566170.47,0.0,4699733137.13,,,
2022-04-01,10000025,Immensea,8481018906615.299,10765180337.3305,9814503767736.596,9566556736.337,287848032920.0,317487031542.44,232964283209.6003,158754354981.14996,,,
2022-04-01,10000009,Insmother,24751209713300.37,25724685142.318897,26052193041407.992,29165605872.5047,711057923174.0,463034573984.6,1990412761680.191,3452025448218.3306,,,
2022-04-01,10000011,Great Wildlands,22452373573031.844,18609645018.8381,22459900752723.67,19041067763.0691,35392673628.0,108925070900.95,210256344585.7512,30983383786.47,,,
2022-04-01,10000067,Genesis,177431820810691.78,218655824023.1449,191117202289843.75,224046563191.5074,173175701601.0,1003712563988.5,562998681812.5122,2025839270195.74,,,
2022-04-01,10000029,Geminate,53794405231388.17,42848023950.9821,54078315804697.96,46075592799.3171,619187612287.0,486959248506.17,261540105167.5359,8496357500.72,,,
2022-04-01,10000058,Fountain,53147855385267.01,39937721178.9782,31691849472991.53,20792654305.72,1323690187099.0,515885194757.62,2160087972351.993,2675863065416.22,,,
2022-04-01,10000056,Feythabolis,18173805443227.184,40826979658.0017,23161143852925.883,49082477656.6632,148728699845.0,745959554490.41,30961266508.4582,96803283512.74,,,
2022-04-01,10000046,Fade,26210561197490.574,17289411141.5607,27692801465729.895,17419706975.8037,329507138541.0,378205679711.86,3071149122918.7363,216207621862.02,,,
2022-04-01,10000030,Heimatar,129462009110064.64,185366990146.1432,132335495926167.56,186440868202.8833,143300062281.0,549135195689.96,2834075448240.5386,7276448421369.248,,,
2022-05-01,10000028,Molden Heath,41437259410828.96,44769887589.0287,42024064568774.67,46655039840.8869,92125888371.0,204243309784.66,261037747133.6767,841137760625.0902,184866721131.62567,18806367.0,
2022-05-01,10000022,Stain,12490918347301.195,10210836265.7149,13339135248734.8,10004227386.3259,260225440085.0,305428252897.2,271004134698.7405,140871318851.37003,125392093212.758,32289027.0,
2022-05-01,10000023,Pure Blind,38087143365325.1,52219251649.0296,50301858042093.07,67608902024.1613,1104691580791.0,1553876433570.73,1182127291184.7124,1349396675862.14,220603429879.2976,49546073.0,
2022-05-01,10000025,Immensea,15469122187688.906,21076440670.4662,30380577838371.34,53550748298.706696,335088555657.0,257379555973.43,222589763512.1992,163142923813.83005,122606028920.37828,34163944.0,
2022-05-01,10000027,Etherium Reach,78039360199734.05,86933676250.3712,72362133727462.05,64138109137.26971,627683515624.0,457467497164.86,1138199901051.15,306006541661.06995,379698116590.6974,91619329.0,
2022-05-01,10000029,Geminate,63895058480297.24,45053191607.4246,77327479804888.47,46910975910.6686,642343851631.0,525054883228.45,225766896860.9313,7908625222.940001,312980086312.741,56494404.0,
2022-05-01,10000036,Devoid,103390283061440.44,143591792712.6139,105927735944065.72,144377668821.9592,66087107603.0,278435905861.83,224805283063.2349,1153390975326.91,143106161002.37787,48463652.0,
2022-05-01,10000031,Impass,11872863695293.469,11699703748.0855,11642799994180.88,11569950766.938,448465407643.0,73082214430.04,791374208.4417,1912379648.03,55180936572.30002,10082553.0,
2022-05-01,10000032,Sinq Laison,267264791807496.88,335380744066.6391,255360848119733.2,337288368329.0273,338091376260.0,1082748344847.24,2779279083901.384,15508461951825.268,461929274987.8554,87038767.0,
2022-05-01,10000033,The Citadel,459597545923385.4,510131104783.7215,442500071568419.75,511513947187.57086,340484243096.0,1498247847093.3,5502139746525.121,4444718104861.93,310073535531.57654,143319619.0,
2022-05-01,10000034,The Kalevala Expanse,101530250150818.52,158514954586.0972,94712955488662.64,137309948256.3296,1543161492383.0,609824352412.87,1614114897094.1653,182561381750.09,481340930211.43274,229737294.0,
2022-05-01,10000035,Deklein,17196717153399.535,16919030303.5862,14554610557872.725,14561985275.0402,683838510982.0,309262346246.27,636174464060.5007,39684821213.73,274143766357.63168,38383575.0,
