history_date,character_isk,corporation_isk,total_isk,isk_velocity,isk_velocity_wo_accessories
2017-01-01,823730200043571.2,194348815879803.16,1018079015923374.4,0.7157200404367592,0.3711946564097408
2017-01-02,822928899018620.6,193937020971834.0,1016865919990454.6,0.8028616730302104,0.4242241808875402
2017-01-03,821047338543957.9,192975986435289.1,1014023324979247.0,0.7561050615924241,0.4121570818313675
2017-01-04,820432329317686.6,192056946175464.62,1012489275493151.2,0.7519950425829216,0.39882780265026635
2017-01-05,820912084404474.1,192490703166430.84,1013402787570905.0,0.7365916639913637,0.3850583047075679
2017-01-06,820825566522318.9,192974493467320.1,1013800059989639.0,0.781250830823475,0.3878889198887449
2017-01-07,822477964357296.4,192818112332578.9,1015296076689875.2,0.8178026050929975,0.44119459331846234
2017-01-08,826501723431270.2,192979604125232.4,1019481327556502.6,0.8364383874334298,0.45956217164537194
2017-01-09,825454826734800.1,193231173817611.28,1018686000552411.4,0.6931050367219389,0.3774032274127583
2017-01-10,823995719186456.4,193063603078562.34,1017059322265018.8,0.6458239084476495,0.34934087799765895
2017-01-11,823792924194616.4,192389489319281.06,1016182413513897.5,0.6593370024746048,0.3586859859132418
2017-01-12,822985744524013.6,192917935225090.2,1015903679749103.8,0.6918060355061767,0.3534478179403736
2017-01-13,821923642604053.5,192521493831001.4,1014445136435054.9,0.7551249384189821,0.38194416616350485
2017-01-14,821680441207119.9,192536158201536.22,1014216599408656.1,0.8597984141536343,0.4417781775001597
2017-01-15,821936653661594.1,192205666559406.47,1014142320221000.6,0.9058373535884517,0.4596196643738778
2017-01-16,820857262734598.9,191524231618177.3,1012381494352776.2,0.7539630196915935,0.4096805721465029
2017-01-17,818047360099450.0,192538050985707.78,1010585411085157.8,0.7302659387713415,0.38425105898335127
2017-01-18,818465988900934.9,193020183999470.97,1011486172900405.9,0.7444120063843521,0.37937691999529977
2017-01-19,817983932688814.0,191115008708067.3,1009098941396881.2,0.7387019201285483,0.38621737950185514
2017-01-20,818161959862286.1,191595659047617.28,1009757618909903.4,0.7291468749213973,0.39354295195776756
2017-01-21,818870492688818.9,191546034271671.16,1010416526960490.0,0.855294000673586,0.4527487471268901
2017-01-22,818875598761836.8,191911083917517.94,1010786682679354.8,0.8569396314114481,0.48701263472832895
2017-01-23,818075698250123.5,191895171937019.53,1009970870187143.0,0.7410451032819523,0.3964457696168353
2017-01-24,813157569463206.2,191154456229274.56,1004312025692480.8,0.6857992155895957,0.3852441876578496
2017-01-25,809030838662034.4,190349072316570.0,999379910978604.4,0.6830319248206693,0.36703569932405045
2017-01-26,804819085064473.5,190375729454759.72,995194814519233.2,0.6773182667673437,0.36353534342342303
2017-01-27,803614931802738.2,189094914089608.44,992709845892346.8,0.7346629330395353,0.39130640382435994
2017-01-28,803194558254431.9,189045003045567.9,992239561299999.8,0.895998694225833,0.46668514819880574
2017-01-29,801535304785949.1,188537934113815.56,990073238899764.8,0.8698443840737691,0.46985004511150186
2017-01-30,798808938680001.9,188400608365818.47,987209547045820.4,0.723661920526278,0.4063760991032503
2017-01-31,795419446828577.9,188195069121024.8,983614515949602.8,0.7358158555016588,0.3759880230987263
2017-02-01,794262650332038.4,186948659639950.22,981211309971988.6,0.7169804125480848,0.3835870812823519
2017-02-02,792764038040443.1,187604805228669.84,980368843269113.0,0.7103423479160296,0.3806691431369184
2017-02-03,792499795125517.4,187679869791433.1,980179664916950.5,0.7599433755279948,0.3981068994257806
2017-02-04,793133974956965.4,188339010797770.75,981472985754736.1,0.9088606893651003,0.4851493050326209
2017-02-05,795381675398678.8,189251294780216.56,984632970178895.2,0.8670956965158452,0.466798605575786
2017-02-06,793571372569209.4,188515596030236.7,982086968599446.0,0.7430974301071441,0.41845117716514835
2017-02-07,787628681729613.8,188938130088922.38,976566811818536.1,0.7292669507914038,0.39857426643161176
2017-02-08,786611240522950.2,189517476389063.22,976128716912013.5,0.7644658236684281,0.39421605623054184
2017-02-09,788863747693886.0,189130106460635.56,977993854154521.5,0.7089003722811565,0.39388198106913963
2017-02-10,788179870152311.8,188834693449166.7,977014563601478.5,0.7506419357004469,0.39940319961650184
2017-02-11,789881173417912.2,187274101140697.0,977155274558609.2,0.8671784280874825,0.4756043922597008
2017-02-12,791241694845721.6,187057204189134.94,978298899034856.5,0.9045673690834755,0.5059876395171506
2017-02-13,787914437498424.0,186713601544664.12,974628039043088.1,0.7757797078813385,0.4271626609571935
2017-02-14,787318311296202.8,187257163598913.06,974575474895115.8,0.6760493299532628,0.35426895490994076
2017-02-15,787489970448552.0,187539529166524.56,975029499615076.5,0.821246963222657,0.4294924843165884
2017-02-16,788462640797489.9,187054944318450.34,975517585115940.2,0.8267568948724036,0.42708119362180186
2017-02-17,787663042144714.2,187367048182744.22,975030090327458.5,0.8480989523355061,0.4420687071032533
2017-02-18,789567087723207.1,187459571631534.5,977026659354741.6,0.9159312647773054,0.4880876969872922
2017-02-19,790583005620236.1,188039571976744.44,978622577596980.5,0.9003328297158019,0.49321027444414495
2017-02-20,789666524306414.1,188497573614997.75,978164097921411.9,0.7647361691461277,0.4302843540989133
2017-02-21,788855291498398.2,188790652294236.06,977645943792634.2,0.7227163600935013,0.40079841539594635
2017-02-22,789565530065517.5,189166454863041.03,978731984928558.5,0.7266427756804554,0.3982953143514205
2017-02-23,789022922364745.8,189101859461439.53,978124781826185.2,0.7645384039557651,0.4110605995312496
2017-02-24,790394457538362.2,189754889666382.78,980149347204745.0,0.7432549969999969,0.3608160869701825
2017-02-25,792628198434283.8,189869341734112.22,982497540168396.0,0.8120482009654203,0.36013132783834056
2017-02-26,794123295469543.4,190354453739551.06,984477749209094.5,0.8059055851292046,0.3855724590949125
2017-02-27,793260355132025.1,190322133435801.62,983582488567826.8,0.7353085829853242,0.3945516360011546
2017-02-28,793265796523059.9,189968682712330.12,983234479235390.0,0.8320899978045232,0.4437892219347813
2017-03-01,795207671535951.9,190126776211896.56,985334447747848.5,0.7905703931356006,0.42103587334716674
2017-03-02,795657616149233.2,189915680929079.22,985573297078312.5,0.7730100951146248,0.4056258109178693
2017-03-03,796623984575954.8,190126825477661.25,986750810053616.0,0.750573818362092,0.4032326248204757
2017-03-04,799201097497711.0,190360327785654.8,989561425283365.8,0.8788070594114189,0.4744847653229163
2017-03-05,800613623753562.6,190124177673581.2,990737801427143.8,0.8692394953594792,0.4727701182493372
2017-03-06,799730161061363.9,189864677978926.25,989594839040290.1,0.742713970901804,0.40929710694914123
2017-03-07,799177612200030.8,188904319694366.38,988081931894397.1,0.7277572684633299,0.3963616636403761
2017-03-08,799380450707216.1,189205721044467.56,988586171751683.8,0.6769459728819626,0.3610214841877215
2017-03-09,800436452998338.4,189062479758985.1,989498932757323.5,0.7092938203251127,0.3750468451731657
2017-03-10,799459316674671.8,190629542583607.2,990088859258279.0,0.7423937211540428,0.3759551426734509
2017-03-11,800025770872990.0,190759748701797.75,990785519574787.8,0.8458832344853786,0.44421386814973013
2017-03-12,800832912398709.8,191768935814978.34,992601848213688.1,0.8912185124040626,0.46038963492434387
